"New Flake ID","Domed","Lenticular","Righttriangle","Trapezoidal","Triangular","Sum","N Analysts","variable"
"1",0,0,27,0,73,100,11,"section"
"2",0,0,11,44,44,99,9,"section"
"3",0,0,0,0,100,100,11,"section"
"4",27,0,0,0,73,100,11,"section"
"5",0,0,0,0,100,100,10,"section"
"6",27,18,0,55,0,100,11,"section"
"7",0,0,73,0,27,100,11,"section"
"8",9,0,0,64,27,100,11,"section"
"9",0,44,22,0,33,99,9,"section"
"10",20,40,0,0,40,100,5,"section"
"11",0,0,9,0,91,100,11,"section"
"12",0,0,0,0,100,100,9,"section"
"13",40,60,0,0,0,100,10,"section"
"14",0,0,0,0,100,100,11,"section"
"15",0,20,0,10,70,100,10,"section"
"16",0,0,0,0,100,100,11,"section"
"17",67,22,11,0,0,100,9,"section"
"18",0,50,10,10,30,100,10,"section"
"19",0,0,0,0,100,100,11,"section"
"20",0,0,0,62,38,100,8,"section"
"21",10,30,10,30,20,100,10,"section"
"22",11,11,0,56,22,100,9,"section"
"23",30,70,0,0,0,100,10,"section"
"24",0,22,11,0,67,100,9,"section"
"25",10,0,0,10,80,100,10,"section"
"26",11,0,0,44,44,99,9,"section"
"27",0,22,11,11,56,100,9,"section"
"28",0,0,0,10,90,100,10,"section"
"29",27,0,9,45,18,99,11,"section"
"30",9,0,0,27,64,100,11,"section"
"31",0,10,0,70,20,100,10,"section"
"32",0,0,0,0,100,100,11,"section"
"33",0,0,0,45,55,100,11,"section"
"34",0,0,0,73,27,100,11,"section"
"35",0,9,0,27,64,100,11,"section"
"36",0,0,0,90,10,100,10,"section"
"37",0,0,0,67,33,100,9,"section"
"38",0,10,0,50,40,100,10,"section"
"39",0,50,0,0,50,100,10,"section"
"40",0,0,0,45,55,100,11,"section"
"41",12,0,0,12,75,99,8,"section"
"42",0,0,22,11,67,100,9,"section"
"43",0,0,0,100,0,100,8,"section"
"44",9,0,0,82,9,100,11,"section"
"45",0,0,0,36,64,100,11,"section"
"46",9,18,0,55,18,100,11,"section"
"47",0,0,0,0,100,100,2,"section"
"48",0,0,0,0,100,100,5,"section"
"49",0,0,0,0,100,100,11,"section"
"50",0,0,0,0,100,100,9,"section"
"51",0,10,0,10,80,100,10,"section"
"52",0,0,50,0,50,100,4,"section"
"53",0,0,67,11,22,100,9,"section"
"54",0,0,0,0,100,100,11,"section"
"55",0,14,0,57,29,100,7,"section"
"56",56,44,0,0,0,100,9,"section"
"57",0,9,0,91,0,100,11,"section"
"58",0,0,0,20,80,100,10,"section"
"59",0,12,0,38,50,100,8,"section"
"60",0,0,64,0,36,100,11,"section"
"61",70,20,0,10,0,100,10,"section"
"62",0,0,11,89,0,100,9,"section"
"63",0,12,12,62,12,98,8,"section"
"64",10,0,0,60,30,100,10,"section"
"65",0,0,0,27,73,100,11,"section"
"66",0,0,0,91,9,100,11,"section"
"67",0,0,0,0,100,100,11,"section"
"68",9,0,0,91,0,100,11,"section"
"69",0,22,0,67,11,100,9,"section"
"70",0,0,0,0,100,100,10,"section"
"71",50,50,0,0,0,100,6,"section"
"72",0,0,0,64,36,100,11,"section"
"73",0,33,0,0,67,100,9,"section"
"74",0,0,78,0,22,100,9,"section"
"75",0,0,0,0,100,100,11,"section"
"76",0,9,55,18,18,100,11,"section"
"77",0,0,0,100,0,100,9,"section"
"78",0,9,0,82,9,100,11,"section"
"79",0,0,0,89,11,100,9,"section"
"80",0,0,0,0,100,100,11,"section"
"81",50,33,0,0,17,100,6,"section"
"82",0,0,0,91,9,100,11,"section"
"83",11,11,0,67,11,100,9,"section"
"84",0,0,22,22,56,100,9,"section"
"85",0,0,30,0,70,100,10,"section"
"86",9,9,0,82,0,100,11,"section"
"87",25,25,0,0,50,100,4,"section"
"88",0,0,0,12,88,100,8,"section"
"90",0,0,0,18,82,100,11,"section"
"91",0,11,0,89,0,100,9,"section"
"92",38,25,12,0,25,100,8,"section"
"93",0,0,0,50,50,100,10,"section"
"94",0,0,50,0,50,100,2,"section"
"95",0,0,0,33,67,100,3,"section"
"96",0,0,0,91,9,100,11,"section"
"98",0,0,25,0,75,100,4,"section"
"99",0,50,50,0,0,100,2,"section"
